39.09	605
39.13	793
39.14	585
39.16	777
39.27	565
39.29	797
39.40	621
39.40	697
39.48	701
39.58	541
39.62	545
39.75	557
39.79	745
39.91	785
39.92	601
40.01	801
40.09	789
40.40	729
40.48	717
40.68	749
40.74	685
40.97	549
41.09	681
41.10	693
41.13	561
41.25	69
41.48	97
41.50	809
41.58	629
41.71	805
41.73	157
41.85	773
41.98	613
42.10	725
42.16	649
42.23	101
42.31	577
42.63	573
42.75	721
42.81	689
42.90	161
42.94	617
43.10	761
43.20	81
43.47	673
43.47	645
43.56	581
43.65	713
44.22	733
44.43	633
44.62	781
44.65	653
44.95	753
45.05	89
45.48	705
45.93	61
46.28	77
46.29	597
46.75	669
46.93	109
49.83	57
52.03	93
52.70	65
52.70	73
53.05	85
53.60	49
53.95	117
53.95	213
54.25	41
54.53	225
54.63	205
54.90	121
55.13	97
55.35	37
55.63	101
55.63	129
55.75	81
56.33	113
56.60	45
56.70	165
56.78	89
56.83	53
56.93	233
57.20	105
57.30	193
57.73	61
58.28	77
58.60	9
58.65	109
59.15	5
59.35	13
59.58	25
59.80	217
59.98	29
60.13	21
60.38	17
60.45	33
60.53	201
60.55	245
60.70	221
60.98	185
61.43	197
61.50	237
61.86	271
62.54	323
62.70	253
62.80	241
62.88	173
62.95	181
63.95	347
64.16	343
64.50	213
64.88	257
64.99	375
65.13	225
65.25	205
65.50	363
65.58	539
66.22	487
66.38	161
66.40	153
66.48	157
66.68	141
66.81	399
66.88	137
66.93	149
67.05	145
67.32	351
67.58	233
67.72	395
67.80	275
67.93	475
68.05	503
68.50	507
68.53	5
68.77	519
69.36	451
69.36	463
69.80	499
69.87	331
70.20	391
70.26	387
70.77	479
70.82	511
71.06	379
71.82	531
72.38	447
72.38	371
72.42	495
72.49	467
72.87	471
72.94	359
72.96	315
73.01	283
73.02	491
73.03	307
73.07	299
73.38	527
73.41	291
73.50	403
73.53	335
73.71	383
73.75	13
73.76	355
74.03	455
74.13	459
74.23	29
74.88	21
74.95	287
75.03	515
75.08	303
75.23	523
75.75	367
76.12	535
77.03	295
77.35	257
77.40	17
77.52	311
77.53	33
77.93	279
78.38	25
78.60	9
79.38	483
79.45	339
79.55	443
80.69	327
81.25	319
104.67	815
110.45	975
116.60	887
117.25	843
118.58	77
120.48	811
121.71	1055
122.90	165
125.95	245
127.05	1
128.68	1067
128.95	1003
129.27	995
130.67	923
131.70	193
132.23	963
133.00	1047
133.53	185
133.79	903
134.59	1075
134.77	979
135.09	987
135.41	1007
